,Cities,Cloudiness (%),Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (MPH)
498,kelvington,76,89,52.16,138.6,4.85,10.98
499,kieta,68,96,-6.22,138.6,81.44,15.23
500,noumea,0,66,-22.28,138.6,84.2,17.22
501,tezu,20,75,27.93,138.6,52.28,1.81
502,illoqqortoormiut,20,75,27.93,138.6,52.28,1.81
503,tiksi,20,38,71.64,138.6,-25.22,2.93
504,hobart,20,61,-42.88,138.6,80.6,14.99
505,hasaki,20,26,35.73,138.6,41.85,11.41
506,rikitea,76,99,-23.12,138.6,80.13,17.47
507,busselton,12,91,-33.64,138.6,73.38,19.37
508,barrow,56,77,-38.31,138.6,68.39,11.21
509,provideniya,0,100,64.42,138.6,8.85,4.38
510,lopadea noua,0,100,64.42,138.6,8.85,4.38
511,illoqqortoormiut,0,100,64.42,138.6,8.85,4.38
512,ushuaia,90,93,-54.81,138.6,48.2,16.11
513,ushuaia,90,93,-54.81,138.6,48.2,16.11
514,bethel,0,72,60.79,138.6,-5.69,14.45
515,alofi,92,78,-19.06,138.6,80.6,8.05
516,pareora,8,80,-44.49,138.6,72.03,4.05
517,husavik,80,85,50.56,138.6,20.1,17.47
518,bredasdorp,92,88,-34.53,138.6,68.0,3.36
519,albany,20,79,42.65,138.6,27.88,10.29
520,gladstone,0,60,-23.84,138.6,87.78,21.05
521,barentsburg,0,60,-23.84,138.6,87.78,21.05
522,brae,76,80,60.4,138.6,41.23,16.11
523,hilo,1,78,19.71,138.6,64.98,4.7
524,tuatapere,68,78,-46.13,138.6,70.32,10.76
525,barentsburg,68,78,-46.13,138.6,70.32,10.76
526,pacific grove,1,87,36.62,138.6,45.52,4.7
527,attawapiskat,1,87,36.62,138.6,45.52,4.7
528,jamestown,48,56,-33.21,138.6,92.24,6.29
529,klaksvik,92,93,62.23,138.6,42.8,24.16
530,rikitea,76,99,-23.12,138.6,80.13,17.47
531,vaini,0,43,15.34,138.6,83.87,4.38
532,santa clara,75,100,22.41,138.6,68.97,11.41
533,tuatapere,68,78,-46.13,138.6,70.32,10.76
534,kapaa,40,78,22.08,138.6,73.4,8.05
535,martapura,40,62,-3.41,138.6,89.6,9.17
536,ozgon,40,62,-3.41,138.6,89.6,9.17
537,saint anthony,40,79,43.97,138.6,26.01,9.17
538,yumen,92,84,40.29,138.6,3.63,15.01
539,saldanha,0,85,41.42,138.6,23.03,3.38
540,chuy,76,85,-33.69,138.6,68.07,13.44
541,rikitea,76,99,-23.12,138.6,80.13,17.47
542,port alfred,88,91,-33.59,138.6,72.62,6.96
543,atuona,88,100,-9.8,138.6,80.4,17.92
544,taolanaro,88,100,-9.8,138.6,80.4,17.92
545,torbay,90,79,47.66,138.6,21.2,12.75
546,saint pete beach,1,77,27.73,138.6,64.18,11.41
547,ilhabela,56,100,-23.78,138.6,75.86,13.89
548,punta arenas,75,76,-53.16,138.6,51.8,13.87
549,jamestown,48,56,-33.21,138.6,92.24,6.29
